url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/1028826994984392175?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999452_8iy5Fenbq%2FuPfdnx&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en El Raval,Barcelona studio,Nuevo,"63 € por noche, inicialmente 76 €",Anfitrión particular,Barcelona
/rooms/2626530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-23&check_out=2024-01-28&source_impression_id=p3_1704999452_n4AhJ4dO4dE1AjHK&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Eixample,"ÁTICO DÚPLEX, TERRAZA PRIVADA! LIMPIEZA DIARIA!","4,77 (272)",197 € por noche,Anfitrión profesional,Barcelona
/rooms/653638312452638458?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1664649736&check_in=2024-02-11&check_out=2024-02-16&source_impression_id=p3_1704999452_A8dTQQ%2B62sYuDMpT&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Habitación en El Poblenou,Preciosa habitación a cinco minutos de la playa de Mar Bella,"4,6 (50)",", ",Quédate con Татьяна,Barcelona
/rooms/1150062?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1704999453_NmBy%2FYNDCCo6mmYn&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Nuevo Apto. con terraza comunitaria 2º 1ª,"4,82 (163)",123 € por noche,Anfitrión profesional,Barcelona
/rooms/2885126?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999453_1dLJ2AHCChu51fDu&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Central lado Ramblas A/C SAT WIFI,"4,59 (205)","116 € por noche, inicialmente 126 €",Anfitrión profesional,Barcelona
/rooms/359841?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1704999453_LU5JaeB5jH6VwU%2FI&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,"BacRou,loft de diseño cerca del mar","4,69 (467)",117 € por noche,Anfitrión particular,Barcelona
/rooms/1028826994984392175?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999453_pLiwbPNyJZplIGbI&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Barcelona studio,Nuevo,"63 € por noche, inicialmente 76 €",Anfitrión particular,Barcelona
/rooms/1061558909163859673?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-03&check_out=2024-02-08&source_impression_id=p3_1704999453_0LYdFIoFnMNuzUQB&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Bonito apartamento en el centro,Nuevo,124 € por noche,Anfitrión profesional,Barcelona
/rooms/2626530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-23&check_out=2024-01-28&source_impression_id=p3_1704999453_YE1lmwLEgz2lyQE2&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,"ÁTICO DÚPLEX, TERRAZA PRIVADA! LIMPIEZA DIARIA!","4,77 (272)",197 € por noche,Anfitrión profesional,Barcelona
/rooms/653638312452638458?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1664649736&check_in=2024-02-11&check_out=2024-02-16&source_impression_id=p3_1704999453_8cl1lbQMU%2FK1BM9e&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Habitación en Barcelona,Preciosa habitación a cinco minutos de la playa de Mar Bella,"4,6 (50)",", ",Quédate con Татьяна,Barcelona
/rooms/44164897?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1035523309&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999453_96Sgx7o2DwZjYio3&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Habitación en Barcelona,Sants dos camas individuales,"4,44 (9)",", ",Quédate con Néstor,Barcelona
/rooms/36272241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999453_sy1a4%2Fhrdjyg5ymo&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Genial 2BD + 2BTH con balcón en Gracia Virreina.,"4,53 (38)",122 € por noche,Anfitrión profesional,Barcelona
/rooms/790512115560289546?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-03&check_out=2024-03-09&source_impression_id=p3_1704999453_Xcsfndv%2FrNhYxTfo&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Pequeño barrio: apartamentos en Homecelona,"4,97 (60)",235 € por noche,Anfitrión particular,Barcelona
/rooms/3385725?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1704999453_WnPIudyWrJG65a4y&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Increíbles vistas de la Sagrada Familia,"4,95 (330)",235 € por noche,Anfitrión particular,Barcelona
/rooms/1013615564487197599?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1791525584&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1704999453_s6oZHGyV5uI9SP0F&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Habitación en Barcelona,"Habitación preciosa. Piso moderno y cálido, Paz:;",Nuevo,", ",Quédate con Carlos Alexandre,Barcelona
/rooms/2373057?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999453_2IoEPxT6dHtaA1wa&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,Elegante y céntrico apartamento,"4,92 (346)",139 € por noche,Anfitrión particular,Barcelona
/rooms/46366621?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-27&check_out=2024-02-01&source_impression_id=p3_1704999453_wN44Mt13AV9WjSxf&previous_page_section_name=1000&federated_search_id=9843f9d9-a02a-40d8-b7e8-8082ec49c056,Apartamento en Barcelona,numa | Estudio pequeño con terraza y aire acondicionado,"4,75 (378)","183 € por noche, inicialmente 215 €",Anfitrión profesional,Barcelona
