url,name,header,ciudad,precio_por_noche,rating,review,valor_ciudad,Anfitrion particular,Anfitrion profesional
/rooms/954920151993352349?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000521_lQLk5Bso%2FYScJyDL&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Apartamento amplio y tranquilo,valencia,56,4.63,24,3,1,0
/rooms/12619448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-27&check_out=2024-02-01&source_impression_id=p3_1705000521_QTGUIb5Pg%2Bj9ws6%2F&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Increíble suite de vidrio de lujo. Superhost,valencia,114,4.92,287,3,1,0
/rooms/47492685?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000521_Boh36NKycVMJB3lb&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Sentirse como en casa en el centro de la ciudad,valencia,134,4.97,174,3,1,0
/rooms/36379562?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000521_aHavPaGxnX8P6OcT&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Alboraia,ELEGANTE APARTAMENTO DE PLAYA EN APARTAMENTO PRÉMIUM CON PISCINA,valencia,77,4.75,92,3,0,1
/rooms/42166423?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000521_QMeN8z69YhpTiqDY&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Impresionante y bonito apartamento en el puerto de Valencia,valencia,190,4.97,64,3,1,0
/rooms/22429742?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000521_8VcVIJjxMzfbwm5Z&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,"Acogedor apartamento en el Carmen, centro Valencia",valencia,69,4.82,271,3,1,0
/rooms/32394789?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000521_ow1Z%2BL0v00%2F3tBgK&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Cabañal Beach Apartment 1,valencia,113,4.92,217,3,1,0
/rooms/814568742145339560?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-24&check_out=2024-01-29&source_impression_id=p3_1705000521_%2BkcIc7O98Qr3VIlI&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,"Apartamento loft en la playa, terraza privada",valencia,85,4.88,41,3,1,0
/rooms/841451498938646545?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_Oad4dnN2dXpXmlok&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Parc Central loft. Ruzafa.,valencia,81,4.95,44,3,0,1
/rooms/895548813983540640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000521_PgzTpLttYEekigSw&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Vivienda en Valencia,Casa acogedora típica valenciana,valencia,80,4.8,40,3,1,0
