url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/36831624?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000413_uItKQRTH%2FTcV5%2BjV&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Casa de invitados en Madrid,Pedro y Carmen,"4,65 (101)",36 € por noche,Anfitrión particular,Madrid
/rooms/677526310239241354?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1454424181&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1705000413_FbUpS5oLvox%2BEKaE&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,Alojamiento tranquilo y acogedor.,"4,9 (178)",", ",Quédate con Maritza,Madrid
/rooms/591788915831072570?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1371266162&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000413_cKXki4E4rCQlW4Zh&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Las Rozas de Madrid,Habitación perfecta para una o dos personas.,"4,71 (28)",", ",Quédate con Kevin,Madrid
/rooms/869386524134209420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-10&check_out=2024-03-15&source_impression_id=p3_1705000414_aEGkgmabI4Hh6jeZ&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Apartamento ideal en Madrid!,"4,91 (66)",65 € por noche,Anfitrión particular,Madrid
/rooms/1062317092250647961?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1814214684&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000414_UiZt4FnXS%2F0xKYcb&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Habitación en Madrid,Terraza & Retiro - Sofá - Cama,Nuevo,", ",Quédate con Raquel,Madrid
/rooms/53285427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000414_Lrwu4NDZfbBM0usy&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apto. residencial en Madrid,Galaxy Flat in the Downtown,"4,77 (146)","87 € por noche, inicialmente 97 €",Anfitrión profesional,Madrid
/rooms/1046513394748787584?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-18&check_out=2024-02-23&source_impression_id=p3_1705000414_Tm5Bd%2Ft7AI3e%2BO2g&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Nuevo loft - precio de promoción - Anahata,"4,5 (4)",94 € por noche,Anfitrión particular,Madrid
/rooms/901519662690408119?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-01&check_out=2024-05-06&source_impression_id=p3_1705000414_LL%2F1mxggmhLLpsbJ&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Vivienda en Madrid,Piso en plena C/Alcalá. Cama doble+sofá cama doble,"4,66 (44)",64 € por noche,Anfitrión particular,Madrid
/rooms/36204716?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000414_KenodrWWeQv%2B1iTN&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Apartamento en Madrid,Suite-Apartament Hortaleza,"4,72 (298)",81 € por noche,Anfitrión particular,Madrid
/rooms/618726219987485347?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1596163288&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000414_U0r9eH4cvBQ2Qjsa&previous_page_section_name=1000&federated_search_id=41cfbe0b-cc29-4ce9-a858-e610113192ef,Habitación en Madrid,Habitación en Moderno Loft  Madrid (HP),"4,82 (71)",", ",Quédate con Pablo,Madrid
