apartment_id,name,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,city,insert_date,bookable_False,bookable_True,mes,Estacion
32637487,"Design for winter Break, close to center & beach.",4,1,1,2,79,3,1125,5,34,53,297,21,99,10,10,10,10,10,10,2.97,valencia,2019-09-30,1,0,9,verano
15179188,Habitación céntro de  madrid.Gran via,2,1,1,1,50,2,1125,0,0,0,0,36,92,9,9,10,9,10,9,0.76,madrid,2021-01-12,1,0,1,invierno
14080358,"55m2 Cozy, sunny  apartment with A/C in Atocha",4,1,1,2,70,2,1125,23,53,83,358,5,100,10,10,10,10,10,9,0.74,madrid,2017-04-08,1,0,4,primavera
27133719,Habitacion precioso en el born muy luminoso,2,1,2,1,73,5,31,30,60,90,365,3,80,9,7,8,8,10,8,0.88,barcelona,2018-11-07,0,1,11,otoño
6747678,Spacious room  in great location,3,1,1,2,30,2,10,0,0,0,0,35,86,9,8,10,10,9,8,1.25,barcelona,2017-10-07,1,0,10,otoño
13953033,Vintage apartment (breakfast and WiFi),6,1,2,6,90,1,1125,0,17,36,303,39,85,8,9,9,10,9,8,5.44,barcelona,2017-02-09,0,1,2,invierno
13790837,HABITACIÓN A 50 MTS. DEL CAMP NOU,2,1,1,1,41,1,7,11,27,34,34,40,98,10,10,10,10,10,10,5.0,barcelona,2017-03-06,0,1,3,invierno
16688770,Sunny Room with balcony & Breakfast,2,4,1,1,22,1,1125,10,40,70,330,17,85,9,8,9,9,10,9,0.37,barcelona,2020-11-06,0,1,11,otoño
14053504,Habitación con cama individual,1,1,1,1,22,2,10,0,0,15,15,2,90,9,9,10,10,10,10,0.08,madrid,2018-07-10,0,1,7,verano
15048152,Santiago Bernabéu. Piso reformado hasta 6 pax. A/C,6,2,3,4,100,3,14,17,24,24,28,8,100,10,10,9,10,10,10,0.73,madrid,2018-07-10,1,0,7,verano
2758891,QUIET GORGEOUS  STUDIO 75 sqm in the  CITY CENTER,2,1,1,1,130,3,5,12,42,72,148,284,97,10,10,10,10,10,10,4.28,barcelona,2019-10-16,0,1,10,otoño
1540924,Amazing bright room w/private bathroom!BCN Center,2,1,1,2,50,31,1125,0,1,2,194,40,99,10,10,10,10,10,10,1.0,barcelona,2019-08-12,0,1,8,verano
37195463,"Piso para disfrutar del sol, buen tiempo y Playas",5,2,3,4,45,2,1125,22,42,45,311,13,95,9,10,10,10,9,9,2.31,valencia,2020-01-31,0,1,1,invierno
3012570,502 Gran Vía - Malasaña,4,1,0,2,65,4,60,3,24,49,317,3,87,10,9,9,10,10,9,0.06,madrid,2018-04-12,1,0,4,primavera
37124926,Beautiful double room in new apartment- n.5,2,2,1,1,50,2,15,0,0,0,0,1,100,10,10,10,10,10,10,1.0,valencia,2019-09-01,1,0,9,verano
5123133,"Apartment - Reina Sofía, Museums",5,1,2,3,55,4,1125,0,0,0,254,11,93,9,9,10,10,10,9,0.28,madrid,2018-04-12,1,0,4,primavera
