nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
New and Unique Flat in the best Neighbourhood!!,42,37,89,madrid,152465,90
Perfect Apartment to visit Valencia,56,105,96,valencia,196697,45
Apartment views of the Sagrada Familia SPB342388,62,133,92,barcelona,197152,100
En el corazón de Madrid,140,10,94,madrid,152465,90
"Madrid Center Luxury, ,  Wifi 24H, Fiber optic 70",150,23,98,madrid,152465,90
Big Comfortable Room Well Located,33,7,100,barcelona,197152,100
PRIVATE TWIN IN AMAZING HOSTEL IN BARCELONA,65,1,60,barcelona,197152,100
Habitación en pleno centro de Madrid con balcón,28,83,90,madrid,152465,90
Paseo de Gracia Apartment 1 2,90,4,75,barcelona,197152,100
Beautiful apartment in the center,130,299,93,barcelona,197152,100
"Entire Flat w Double Room, King Size Bed, Pobe Sec",55,11,84,barcelona,197152,100
Gracia Diagonal Apartment,100,45,95,barcelona,197152,100
Central Valencia,77,66,89,valencia,196697,45
Luminoso apartamento de estilo escandinavo en Poblenou,135,28,99,barcelona,197152,100
Enjoy Madrid!Apartamento de diseño en pleno centro,74,62,98,madrid,152465,90
private room up to 4 persons,15,3,87,barcelona,197152,100
"Private Room in peaceful place, Vista Alegre Metro",10,2,100,madrid,152465,90
excelente habitacion individual,25,13,94,barcelona,197152,100
Room Parque Güell,25,24,87,barcelona,197152,100
Very nice flat just 10min walking Puerta del Sol,57,193,87,madrid,152465,90
Cosy apartment city center,100,8,78,barcelona,197152,100
Se alquila habitacion en piso compartido,19,11,80,madrid,152465,90
"Madrid museums 2 bedrooms 60 sq.m, 5 people",80,145,95,madrid,152465,90
Habitación cómoda y tranquila con hosts cheveres.,22,8,98,madrid,152465,90
Comoda habitación single cerca de Plaza España,17,9,87,barcelona,197152,100
Penthouse One-Bedroom Apartment - Roisa Suites,77,1,100,madrid,152465,90
Cosy triple room  Monumental,34,90,82,barcelona,197152,100
Charming Two Bedroom Apartment In Barceloneta,215,1,100,barcelona,197152,100
Estandar RME · Murmuri Residence Mercader - Standard Apartment,122,2,100,barcelona,197152,100
Picasso Suites 4.3 Paseo de Gracia,129,129,96,barcelona,197152,100
Double room close to the center,40,46,89,barcelona,197152,100
"Double Room ""Barcelona""",25,5,88,barcelona,197152,100
#Aparment  punte de valleca,55,48,89,madrid,152465,90
NEW LUXURIOUS APARTMENT  - VINE A CASA  3,71,6,97,barcelona,197152,100
Quiet Study in Lavapies Madrid sunny and cute,49,5,92,madrid,152465,90
